Transaction ID,Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Refund Request
da8a6ba8-b3dc-4677-b176,2023-12-08,12:41:11,Online,Contactless,Adult,Standard,Advance,43,London Paddington,Liverpool Lime Street,2024-01-01,11:00:00,13:30:00,13:30:00,On Time,,No
b0cdd1b0-f214-4197-be53,2023-12-16,11:23:01,Station,Credit Card,Adult,Standard,Advance,23,London Kings Cross,York,2024-01-01,09:45:00,11:35:00,11:40:00,Delayed,Signal Failure,No
f3ba7a96-f713-40d9-9629,2023-12-19,19:51:27,Online,Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-02,18:15:00,18:45:00,18:45:00,On Time,,No
b2471f11-4fe7-4c87-8ab4,2023-12-20,23:00:36,Station,Credit Card,None,Standard,Advance,13,London Paddington,Reading,2024-01-01,21:30:00,22:30:00,22:30:00,On Time,,No
2be00b45-0762-485e-a7a3,2023-12-27,18:22:56,Online,Contactless,None,Standard,Advance,76,Liverpool Lime Street,London Euston,2024-01-01,16:45:00,19:00:00,19:00:00,On Time,,No
4e1dcd88-3d95-44ef-99fa,2023-12-30,07:56:06,Online,Credit Card,None,Standard,Advance,35,London Kings Cross,York,2024-01-01,06:15:00,08:05:00,08:05:00,On Time,,No
1c74479d-85a4-4ba1-a607,2023-12-31,00:02:01,Station,Credit Card,Adult,Standard,Advance,2,London Euston,Oxford,2024-01-01,22:30:00,23:40:00,23:40:00,On Time,,No
febf8dab-f808-46fa-bf2b,2023-12-31,01:35:18,Station,Contactless,Disabled,Standard,Advance,2,Liverpool Lime Street,Manchester Piccadilly,2024-01-01,00:00:00,00:30:00,00:30:00,On Time,,No
01df916f-4291-41ec-a37d,2023-12-31,01:43:09,Station,Credit Card,None,Standard,Advance,37,London Euston,York,2024-01-01,00:00:00,01:50:00,02:07:00,Delayed,Signal Failure,No
a8cedba7-1923-459d-b046,2023-12-31,03:05:52,Online,Credit Card,None,Standard,Advance,13,London Paddington,Reading,2024-01-01,01:30:00,02:30:00,02:30:00,On Time,,No
b3e5ca7d-e76c-49f2-b49f,2023-12-31,03:26:37,Online,Contactless,None,Standard,Advance,8,York,Durham,2024-01-01,01:45:00,02:35:00,02:35:00,On Time,,No
6c63f7ac-d590-4356-9eaa,2023-12-31,03:52:11,Online,Contactless,Adult,Standard,Advance,8,London Paddington,Reading,2024-01-01,02:15:00,03:15:00,03:15:00,On Time,,No
2e7add75-566a-41aa-9468,2023-12-31,05:55:22,Online,Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-01,04:15:00,04:45:00,04:45:00,On Time,,No
7ed9b545-eb6f-49b2-9b5a,2023-12-31,06:44:35,Online,Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-01-01,05:00:00,05:30:00,05:30:00,On Time,,No
2e05e2a6-88a8-40fb-bacc,2023-12-31,08:05:50,Online,Credit Card,Disabled,Standard,Advance,15,Birmingham New Street,London St Pancras,2024-01-01,06:30:00,07:50:00,07:50:00,On Time,,No
8a18d3b4-995e-49bf-93a3,2023-12-31,08:16:53,Online,Credit Card,None,Standard,Advance,13,London Paddington,Reading,2024-01-01,07:45:00,08:45:00,08:45:00,On Time,,No
7493a611-342a-4b17-90dc,2023-12-31,08:23:15,Online,Credit Card,None,Standard,Advance,13,London Paddington,Reading,2024-01-01,07:45:00,08:45:00,08:45:00,On Time,,No
054676ac-a976-4909-a26e,2023-12-31,09:09:20,Online,Credit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-01-01,07:30:00,08:50:00,08:50:00,On Time,,No
6b62b452-c491-468d-b39c,2023-12-31,09:12:21,Online,Credit Card,None,Standard,Advance,35,London Kings Cross,York,2024-01-01,07:30:00,09:20:00,09:20:00,On Time,,No
85e38992-6c6c-4569-914e,2023-12-31,10:42:22,Online,Credit Card,None,Standard,Advance,35,London Kings Cross,York,2024-01-01,09:00:00,10:50:00,10:50:00,On Time,,No
8dfbf0fc-aea0-424f-b30e,2023-12-31,11:57:15,Station,Debit Card,Adult,Standard,Advance,7,Birmingham New Street,Manchester Piccadilly,2024-01-01,11:15:00,12:35:00,13:06:00,Delayed,Technical Issue,Yes
